cpuName,price,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,testDate,socket,category
AMD Phenom II X4 B97,79.95,2498,31.25,1326,16.59,95.0,26.3,4,2010,AM2+/AM3,Desktop
AMD Phenom II X4 850,64.99,2496,38.4,1350,20.77,95.0,26.27,4,2011,AM2+/AM3,Unknown
Intel Core i5-750 @ 2.67GHz,200.0,2495,12.48,1242,6.21,95.0,26.27,4,2009,LGA1156,Desktop
Intel Xeon E5472 @ 3.00GHz,20.04,2490,124.24,1302,64.98,80.0,31.12,4,2009,LGA771,Server
Intel Xeon E5450 @ 3.00GHz,36.99,2486,67.21,1294,34.99,80.0,31.08,4,2009,LGA771,Server
Intel Celeron G5920 @ 3.50GHz,61.99,2482,40.04,2151,34.7,58.0,42.79,2,2020,FCLGA1200,Desktop
Intel Core i3-3245 @ 3.40GHz,149.0,2480,16.64,1835,12.32,55.0,45.09,2,2013,LGA1155,Desktop
AMD Opteron 8439 SE,52.0,2479,47.67,590,11.34,105.0,23.61,6,2013,F (1207),Server
Intel Xeon E5520 @ 2.27GHz,72.61,2479,34.14,1056,14.55,80.0,30.98,4,2009,LGA1366,Server
Intel Core i5-661 @ 3.33GHz,200.19,2462,12.3,1455,7.27,87.0,28.3,2,2010,LGA1156,Desktop
Intel Xeon D-1602 @ 2.50GHz,106.0,2459,23.2,1435,13.54,27.0,91.07,2,2020,FCBGA1667,Server
Intel Core2 Extreme X9650 @ 3.00GHz,859.99,2455,2.86,1288,1.5,130.0,18.89,4,2008,LGA775,Desktop
Intel Celeron N4100 @ 1.10GHz,107.0,2451,22.91,1009,9.43,6.0,408.48,4,2018,FCBGA1090,Laptop
Intel Core i5-3210M @ 2.50GHz,52.02,2449,47.08,1534,29.49,35.0,69.98,2,2012,PGA988B,Laptop
Intel Celeron G4900 @ 3.10GHz,105.95,2448,23.11,1914,18.06,54.0,45.34,2,2018,FCLGA1151-2,Desktop
Intel Core i3-4100M @ 2.50GHz,218.57,2447,11.2,1366,6.25,37.0,66.15,2,2014,FCPGA946,Laptop
Intel Xeon X3370 @ 3.00GHz,40.0,2446,61.16,1311,32.76,95.0,25.75,4,2009,LGA775,Server
AMD Athlon II X4 650,166.6,2440,14.65,1329,7.98,95.0,25.69,4,2011,unknown,Unknown
Intel Core i7-2640M @ 2.80GHz,125.05,2439,19.5,1490,11.91,35.0,69.68,2,2011,BGA1023,Laptop
AMD Phenom II X4 955,176.18,2432,13.8,1304,7.4,125.0,19.46,4,2009,AM3,Desktop
Intel Pentium G3470 @ 3.60GHz,64.88,2428,37.43,2089,32.19,53.0,45.82,2,2015,LGA1150,Desktop
Intel Core i7-2620M @ 2.70GHz,135.37,2427,17.93,1470,10.86,35.0,69.34,2,2011,BGA1023,Laptop
Intel Core i7-860S @ 2.53GHz,160.0,2424,15.15,1314,8.21,82.0,29.56,4,2011,LGA1156,Desktop
Intel Core2 Quad Q9650 @ 3.00GHz,54.99,2411,43.84,1292,23.49,95.0,25.38,4,2008,LGA775,Desktop
Intel Celeron G4920 @ 3.20GHz,212.73,2406,11.31,1965,9.24,54.0,44.56,2,2018,FCLGA1151-2,Desktop
Intel Atom C3558 @ 2.20GHz,86.0,2405,27.96,849,9.87,16.0,150.3,4,2017,FCBGA1310,Server
Intel Celeron G4900T @ 2.90GHz,77.95,2403,30.82,1789,22.96,35.0,68.65,2,2018,FCLGA1151-2,Desktop
Intel Core i3-3250 @ 3.50GHz,82.9,2401,28.96,1830,22.08,55.0,43.65,2,2013,LGA1155,Desktop
Intel Xeon X5450 @ 3.00GHz,49.96,2400,48.04,1267,25.36,120.0,20,4,2009,LGA771,Server
AMD Opteron 4170 HE,39.99,2382,59.56,476,11.9,65.0,36.65,6,2010,C32,Server
Intel Celeron G3950 @ 3.00GHz,143.0,2369,16.56,1811,12.66,51.0,46.45,2,2017,FCLGA1151,Desktop
Intel Core i5-2390T @ 2.70GHz,99.9,2364,23.66,1394,13.95,35.0,67.53,2,2011,LGA1155,Desktop
Intel Pentium 6405U @ 2.40GHz,161.0,2363,14.68,1417,8.8,15.0,157.55,2,2020,FCBGA1528,Laptop
